STATE,SA2NAME,Mean,Lowest quintile,Second quintile,Third quintile,Fourth quintile,Highest quintile,Median,AusRanking,StateRanking
NSW,Avoca Beach - Copacabana,6851,1503,3628,5847,8348,14922,5844,1372,371
NSW,Box Head - MacMasters Beach,7024,1758,3962,6108,8681,14606,6085,1475,400
NSW,Calga - Kulnura,7798,610,3142,5772,9223,20221,5717,1323,353
NSW,Erina - Green Point,6688,1418,3085,4971,7693,16265,4943,969,238
NSW,Gosford - Springfield,5728,1443,3096,4503,6596,13000,4503,741,158
NSW,Kariong,7269,2650,4614,6346,8508,14229,6341,1554,418
NSW,Kincumber - Picketts Valley,5723,794,2994,4831,7265,12721,4819,904,215
NSW,Narara,7172,2432,4642,6429,8560,13786,6435,1594,423
NSW,Niagara Park - Lisarow,7171,2105,4397,6252,8604,14496,6215,1519,412
NSW,Point Clare - Koolewong,6410,1922,4021,5728,7740,12640,5725,1329,356
NSW,Saratoga - Davistown,7337,2136,4523,6521,8819,14671,6484,1613,430
NSW,Terrigal - North Avoca,6552,1583,3712,5623,7970,13866,5599,1282,344
NSW,Umina - Booker Bay - Patonga,5351,1147,3093,4671,6665,11179,4658,833,193
NSW,Wamberal - Forresters Beach,7482,2103,4600,6504,8923,15270,6483,1611,429
NSW,Woy Woy - Blackwall,5418,1381,3212,4685,6582,11225,4668,840,194
NSW,Wyoming,6907,2169,4304,6141,8279,13637,6139,1500,407
NSW,Bateau Bay - Killarney Vale,6475,1981,3830,5493,7616,13453,5476,1227,325
NSW,Blue Haven - San Remo,6175,2211,4049,5595,7515,11499,5545,1257,336
NSW,Budgewoi - Buff Point - Halekulani,6117,1682,3716,5414,7470,12294,5399,1190,307
NSW,Chittaway Bay - Tumbi Umbi,6767,2260,4292,6019,8091,13170,6018,1443,392
NSW,Gorokan - Kanwal - Charmhaven,6338,1985,3939,5607,7642,12512,5618,1292,347
NSW,Jilliby - Yarramalong,10146,2036,6072,9205,12536,20843,9206,1944,524
NSW,Lake Munmorah - Mannering Park,6150,1590,3537,5404,7666,12544,5375,1175,302
NSW,Ourimbah - Fountaindale,7492,2054,4482,6256,8662,16005,6248,1531,416
NSW,Summerland Point - Gwandalan,6274,1512,3773,5594,7727,12749,5580,1270,342
NSW,The Entrance,4642,845,2376,3748,5566,10673,3743,333,45
NSW,Toukley - Norah Head,5404,1320,3153,4645,6592,11306,4619,807,183
NSW,Tuggerah - Kangy Angy,6317,1741,3695,5306,7241,13585,5277,1134,290
NSW,Warnervale - Wadalba,6346,1940,3867,5466,7522,12928,5455,1215,318
NSW,Wyong,6102,1812,3686,5280,7326,12397,5235,1114,287
NSW,Baulkham Hills (East),7743,2319,4842,7006,9587,14957,6975,1739,468
NSW,Baulkham Hills (West) - Bella Vista,8365,2651,5361,7511,10150,16145,7530,1840,495
NSW,Castle Hill,8696,2340,5043,7592,10632,17871,7595,1850,498
NSW,Cherrybrook,8013,2598,4895,7077,9722,15766,7063,1763,477
NSW,Glenhaven,11828,3431,7213,10506,14557,23432,10476,1958,530
NSW,Kellyville,8548,2342,5422,7678,10433,16859,7633,1857,500
NSW,West Pennant Hills,9912,3267,6280,8892,12070,19044,8846,1938,519
NSW,Dural - Kenthurst - Wisemans Ferry,11821,2060,6248,9760,14214,26800,9706,1948,526
NSW,Galston - Laughtondale,10563,2425,5917,8842,12585,23023,8820,1936,517
NSW,Bilpin - Colo - St Albans,6098,336,2503,5131,8030,14470,5156,1075,271
NSW,Kurrajong Heights - Ebenezer,9273,2231,5980,8493,11374,18282,8507,1923,511
NSW,Pitt Town - McGraths Hill,9560,2090,5795,8533,11687,19680,8536,1928,512
NSW,Rouse Hill - Beaumont Hills,8444,2843,5599,7679,10180,15919,7640,1860,501
NSW,Blacktown (East) - Kings Park,6003,1762,3621,5215,7287,12128,5196,1094,276
NSW,Blacktown (North) - Marayong,6266,1963,3939,5612,7696,12117,5580,1270,342
NSW,Blacktown (South),5881,1658,3504,5102,7112,12024,5089,1042,259
NSW,Doonside - Woodcroft,6197,2111,3948,5547,7487,11890,5518,1245,333
NSW,Lalor Park - Kings Langley,7468,2277,4637,6796,9259,14370,6798,1702,457
NSW,Seven Hills - Toongabbie,6559,2063,4143,5864,7984,12736,5877,1389,376
NSW,Glenwood,7073,2952,4773,6344,8354,12937,6344,1557,419
NSW,Parklea - Kellyville Ridge,5785,1455,3669,5228,7012,11559,5209,1098,278
